,rep,EncounterID,TrueEnc,Pelagic,NWHI,MHI,CorrectDW
test_pel,1,P4,4,Ambiguous,Ambiguous,Ambiguous,66
test_nwhi,1,N2,14,Ambiguous,Ambiguous,Ambiguous,63
test_mhi,1,M1,34,Ambiguous,Ambiguous,Ambiguous,49
test_pel1,2,P6,1,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi1,2,N2,14,Ambiguous,NWHI,Ambiguous,80
test_mhi1,2,M3,32,Ambiguous,Ambiguous,Ambiguous,70
test_pel2,3,P2,3,Ambiguous,Ambiguous,Ambiguous,61
test_nwhi2,3,N2,14,Ambiguous,Ambiguous,Ambiguous,57
test_mhi2,3,M1,34,Ambiguous,Ambiguous,Ambiguous,44
test_pel3,4,P3,6,Ambiguous,Ambiguous,Ambiguous,51
test_nwhi3,4,N2,14,Ambiguous,Ambiguous,Ambiguous,63
test_mhi3,4,M1,34,Ambiguous,Ambiguous,Ambiguous,43
test_pel4,5,P8,7,Ambiguous,Ambiguous,Ambiguous,54
test_nwhi4,5,N3,15,Ambiguous,Ambiguous,Ambiguous,46
test_mhi4,5,M4,33,Ambiguous,Ambiguous,MHI,104
test_pel5,6,P1,2,Ambiguous,Ambiguous,Ambiguous,48
test_nwhi5,6,N2,14,Ambiguous,NWHI,Ambiguous,78
test_mhi5,6,M3,32,Ambiguous,Ambiguous,Ambiguous,69
test_pel6,7,P5,5,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi6,7,N2,14,Ambiguous,NWHI,Ambiguous,86
test_mhi6,7,M1,34,Ambiguous,Ambiguous,Ambiguous,44
test_pel7,8,P6,1,Ambiguous,Ambiguous,Ambiguous,55
test_nwhi7,8,N3,15,Ambiguous,Ambiguous,Ambiguous,72
test_mhi7,8,M2,31,Ambiguous,Ambiguous,Ambiguous,71
test_pel8,9,P5,5,Pelagic,Ambiguous,Ambiguous,76
test_nwhi8,9,N4,16,Ambiguous,Ambiguous,Ambiguous,47
test_mhi8,9,M2,31,Ambiguous,Ambiguous,Ambiguous,65
test_pel9,10,P7,8,Ambiguous,Pelagic,Ambiguous,43
test_nwhi9,10,N2,14,Ambiguous,Ambiguous,Ambiguous,37
test_mhi9,10,M2,31,MHI,Ambiguous,MHI,85
test_pel10,11,P7,8,Ambiguous,Ambiguous,Ambiguous,50
test_nwhi10,11,N4,16,Ambiguous,Ambiguous,Ambiguous,51
test_mhi10,11,M2,31,Ambiguous,Ambiguous,MHI,75
test_pel11,12,P2,3,Ambiguous,Ambiguous,Ambiguous,69
test_nwhi11,12,N4,16,Ambiguous,Ambiguous,Ambiguous,50
test_mhi11,12,M2,31,Ambiguous,Ambiguous,MHI,89
test_pel12,13,P4,4,Ambiguous,Ambiguous,Ambiguous,69
test_nwhi12,13,N3,15,Ambiguous,Ambiguous,Ambiguous,52
test_mhi12,13,M1,34,Ambiguous,Ambiguous,Ambiguous,40
test_pel13,14,P5,5,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi13,14,N4,16,Ambiguous,Ambiguous,Ambiguous,58
test_mhi13,14,M3,32,Ambiguous,Ambiguous,MHI,79
test_pel14,15,P8,7,Pelagic,Ambiguous,Ambiguous,96
test_nwhi14,15,N4,16,Ambiguous,Ambiguous,Ambiguous,64
test_mhi14,15,M2,31,Ambiguous,Ambiguous,Ambiguous,70
test_pel15,16,P6,1,Ambiguous,Ambiguous,Ambiguous,66
test_nwhi15,16,N4,16,Ambiguous,Ambiguous,Ambiguous,45
test_mhi15,16,M2,31,Ambiguous,Ambiguous,MHI,79
test_pel16,17,P6,1,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi16,17,N4,16,Ambiguous,Ambiguous,Ambiguous,54
test_mhi16,17,M2,31,Ambiguous,Ambiguous,MHI,81
test_pel17,18,P5,5,Ambiguous,Ambiguous,Ambiguous,60
test_nwhi17,18,N1,17,Ambiguous,Ambiguous,Ambiguous,35
test_mhi17,18,M3,32,Ambiguous,Ambiguous,MHI,78
test_pel18,19,P5,5,Ambiguous,Ambiguous,Ambiguous,62
test_nwhi18,19,N4,16,Ambiguous,Ambiguous,Ambiguous,60
test_mhi18,19,M2,31,Ambiguous,Ambiguous,MHI,79
test_pel19,20,P6,1,Ambiguous,Ambiguous,Ambiguous,56
test_nwhi19,20,N1,17,Ambiguous,Ambiguous,Ambiguous,33
test_mhi19,20,M4,33,Ambiguous,MHI,MHI,100
test_pel20,21,P5,5,Ambiguous,Ambiguous,Ambiguous,61
test_nwhi20,21,N4,16,Ambiguous,Ambiguous,Ambiguous,63
test_mhi20,21,M3,32,Ambiguous,Ambiguous,MHI,81
test_pel21,22,P5,5,Ambiguous,Ambiguous,Ambiguous,46
test_nwhi21,22,N4,16,Ambiguous,Ambiguous,Ambiguous,70
test_mhi21,22,M1,34,Ambiguous,Ambiguous,Ambiguous,47
test_pel22,23,P1,2,Ambiguous,Ambiguous,Ambiguous,68
test_nwhi22,23,N3,15,Ambiguous,Ambiguous,Ambiguous,47
test_mhi22,23,M4,33,Ambiguous,Ambiguous,MHI,102
test_pel23,24,P1,2,Ambiguous,Ambiguous,Ambiguous,45
test_nwhi23,24,N3,15,Ambiguous,NWHI,Ambiguous,77
test_mhi23,24,M1,34,Ambiguous,Ambiguous,Ambiguous,57
test_pel24,25,P7,8,Ambiguous,Ambiguous,Ambiguous,46
test_nwhi24,25,N3,15,Ambiguous,Ambiguous,Ambiguous,56
test_mhi24,25,M2,31,MHI,Ambiguous,MHI,91
test_pel25,26,P8,7,Pelagic,Ambiguous,Ambiguous,98
test_nwhi25,26,N1,17,Ambiguous,Ambiguous,Ambiguous,34
test_mhi25,26,M3,32,Ambiguous,Ambiguous,MHI,84
test_pel26,27,P6,1,Ambiguous,Ambiguous,Ambiguous,56
test_nwhi26,27,N3,15,Ambiguous,Ambiguous,Ambiguous,58
test_mhi26,27,M2,31,Ambiguous,Ambiguous,Ambiguous,70
test_pel27,28,P7,8,Ambiguous,Ambiguous,Ambiguous,42
test_nwhi27,28,N4,16,Ambiguous,Ambiguous,Ambiguous,48
test_mhi27,28,M4,33,MHI,Ambiguous,MHI,104
test_pel28,29,P4,4,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi28,29,N2,14,Ambiguous,Ambiguous,Ambiguous,59
test_mhi28,29,M1,34,Ambiguous,Ambiguous,Ambiguous,47
test_pel29,30,P1,2,Pelagic,Ambiguous,Ambiguous,75
test_nwhi29,30,N4,16,Ambiguous,Ambiguous,Ambiguous,48
test_mhi29,30,M4,33,Ambiguous,Ambiguous,MHI,108
test_pel30,31,P2,3,Ambiguous,Ambiguous,Ambiguous,62
test_nwhi30,31,N4,16,Ambiguous,Ambiguous,Ambiguous,64
