"variable","statistic","p.value","comparison"
"Duration",0.111666667,0.001126636,"NWHI-MHI"
"Duration",0.1375,5.4e-07,"Pelagic-MHI"
"Duration",0.13,2.69e-06,"Pelagic-NWHI"
"AbsSlopeMean",0.0525,0.220205559,"Pelagic-NWHI"
"CoeffFreqMod",0.215,1.8e-12,"NWHI-MHI"
"CoeffFreqMod",0.1425,1.76e-07,"Pelagic-MHI"
"CoeffFreqMod",0.115833333,4.36e-05,"Pelagic-NWHI"
"MeanNegSlope",0.211666667,4.23e-12,"NWHI-MHI"
"MeanNegSlope",0.1375,5.4e-07,"Pelagic-MHI"
"MeanNegSlope",0.165,6.95e-10,"Pelagic-NWHI"
"MeanPosSlope",0.253333333,0,"NWHI-MHI"
"MeanPosSlope",0.209166667,1.22e-15,"Pelagic-MHI"
"MeanPosSlope",0.065833333,0.062405278,"Pelagic-NWHI"
"ThirdQuarterFreq",0.108333333,0.001749335,"NWHI-MHI"
"ThirdQuarterFreq",0.160833333,2.06e-09,"Pelagic-MHI"
"ThirdQuarterFreq",0.160833333,2.06e-09,"Pelagic-NWHI"
"MeanSlope",0.1175,3.19e-05,"Pelagic-NWHI"
"PosNegSlopeRatio",0.036666667,0.814708904,"NWHI-MHI"
"PosNegSlopeRatio",0.0675,0.052241889,"Pelagic-MHI"
"PosNegSlopeRatio",0.054166667,0.191101594,"Pelagic-NWHI"
"FreqSpread",0.211666667,4.23e-12,"NWHI-MHI"
"FreqSpread",0.163333333,1.08e-09,"Pelagic-MHI"
"FreqSpread",0.080833333,0.010736832,"Pelagic-NWHI"
"PctNegSlope",0.111666667,0.001126636,"NWHI-MHI"
"PctNegSlope",0.0575,0.141959869,"Pelagic-MHI"
"PctNegSlope",0.131666667,1.9e-06,"Pelagic-NWHI"
"PctZeroSlope",0.086666667,0.022070336,"NWHI-MHI"
"PctZeroSlope",0.1375,5.4e-07,"Pelagic-MHI"
"PctZeroSlope",0.124166667,8.8e-06,"Pelagic-NWHI"
"MaxInflTime/MinInflTime",0.04,0.723151917,"NWHI-MHI"
"MaxInflTime/MinInflTime",0.095,0.001463605,"Pelagic-MHI"
"MaxInflTime/MinInflTime",0.075,0.022217963,"Pelagic-NWHI"
"MeanTimeBtwnInfl",0.026666667,0.983287245,"NWHI-MHI"
"MeanTimeBtwnInfl",0.115833333,4.36e-05,"Pelagic-MHI"
"MeanTimeBtwnInfl",0.1025,0.000447492,"Pelagic-NWHI"
"SDTimeBtwnInfl",0.04,0.723151917,"NWHI-MHI"
"SDTimeBtwnInfl",0.0825,0.008635679,"Pelagic-MHI"
"SDTimeBtwnInfl",0.064166667,0.074214717,"Pelagic-NWHI"
