"variable","statistic","p.value","comparison"
"Duration","0.111666666666667",0.0011266355394034,"MN"
"ThirdQuarterFreq","0.108333333333333",0.00174933513380504,"MN"
"FreqSpread","0.211666666666667",4.2312819914514e-12,"MN"
"CoeffFreqMod","0.215",1.80244708047894e-12,"MN"
"MeanPosSlope","0.253333333333333",0,"MN"
"MeanNegSlope","0.211666666666667",4.2312819914514e-12,"MN"
"PctNegSlope","0.111666666666667",0.0011266355394034,"MN"
"PctZeroSlope","0.0866666666666667",0.0220703361020337,"MN"
"Duration","0.1375",5.39915700703553e-07,"MP"
"ThirdQuarterFreq","0.160833333333333",2.05962535915205e-09,"MP"
"FreqSpread","0.163333333333333",1.07701225715573e-09,"MP"
"CoeffFreqMod","0.1425",1.76163583942568e-07,"MP"
"MeanPosSlope","0.209166666666667",1.22124532708767e-15,"MP"
"MeanNegSlope","0.1375",5.39915700703553e-07,"MP"
"PctZeroSlope","0.1375",5.39915700703553e-07,"MP"
"MaxInflTime/MinInflTime","0.095",0.00146360483718744,"MP"
"MeanTimeBtwnInfl","0.115833333333333",4.35874319003604e-05,"MP"
"SDTimeBtwnInfl","0.0825",0.00863567932008791,"MP"
"Duration","0.13",2.68762455524207e-06,"PN"
"ThirdQuarterFreq","0.160833333333333",2.05962535915205e-09,"PN"
"FreqSpread","0.0808333333333333",0.010736832097724,"PN"
"CoeffFreqMod","0.115833333333333",4.35874319003604e-05,"PN"
"MeanSlope","0.1175",3.19335677956278e-05,"PN"
"MeanNegSlope","0.165",6.9517824830001e-10,"PN"
"PctNegSlope","0.131666666666667",1.89604255773634e-06,"PN"
"PctZeroSlope","0.124166666666667",8.80015072901585e-06,"PN"
"MaxInflTime/MinInflTime","0.075",0.0222179626165251,"PN"
"MeanTimeBtwnInfl","0.1025",0.000447491587436288,"PN"
