"M2","M3","M4","M1","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1
"FREQSTEPDOWN",0,0,0,1.73288431782943,1.73274636087915,0.059607502404905
"FREQSTEPUP",0,0,1.00024996875781,-3.15283662784896,-2.6937436155476,0.10926856417677
"FREQNUMSTEPS",0,-1.41481806026358,0,-1.64461055351454,-1.99056389952729,0.127647715098205
"NUMSWEEPSDWNUP",-4.13660597989782,0.941062456127071,-3.05256783045757,-0.729503445497892,-3.62783210737103,1.41031320831963
"FREQENDDWN",7.61795689315609,-0.96610769688532,9.60455772490955,1.78718962283972,9.82341785812279,2.90332338917491
"FREQBEGDWN",2.80302990372589,2.59866861880165,-1.80598956904676,-0.195855320392111,1.56912409138329,3.59437948159314
"FREQBEGUP",-3.83968120847545,2.50770064442869,3.48742514964185,6.58378620026572,4.28003516322858,3.78381145536745
"NUMSWEEPSUPDWN",3.51086807892061,1.79962028202112,2.95890545743296,3.66516190423736,5.9529699230307,4.58771398715911
"FREQENDUP",6.82841181392494,2.83807237105357,4.31820477218606,2.35942333881477,8.60558943636022,4.81915308249164
"NUMINFLECTIONS",1.79033751220036,5.8971997339039,0.280665620934071,2.20639593603385,5.5674851831703,8.17831315487887
"INFLSTDDEVDELTA",4.28339891840508,3.3944927505427,1.63790545147871,5.89718903532944,7.76707131334773,8.58817108910369
"INFLMAXMINDELTA",4.48258148225985,0.652023149371669,-2.77055279177764,5.88244779677996,4.13249559643928,10.1142891489014
"INFLMEANDELTA",6.57852912239213,-2.90690393787438,3.2840352906761,5.49940396921945,6.65054332960608,16.4255341420454
"NUMSWEEPSFLATDWN",5.79857799270656,2.75908465340103,5.99381770184849,8.91747638783905,12.2369394979498,17.509609995802
"FREQSLOPERATIO",0.906024219651286,3.37751814560075,12.5491275501418,1.33290523440839,9.86780012116763,18.6706006843695
"FREQNEGSLOPEMEAN",6.9647248654975,-2.22235592689093,1.98331868142271,8.89905679170026,8.21435175239008,19.4521943327065
"NUMSWEEPSFLATUP",6.86293011576187,7.69444358486778,10.4748836662985,14.0010278179076,19.9654712997361,21.3612312037865
"FREQPOSSLOPEMEAN",1.75832958030756,5.22512150706008,2.1654758513494,17.4794896773284,14.377953881345,24.0567683898127
"FREQSPREAD",-3.18905023286187,4.87410270462864,27.8847578774412,18.4018371633724,25.4448421714669,24.5502760707118
"FREQSWEEPFLATPERCENT",-0.840236716020131,-1.36177251047066,18.7278488324271,11.1405655199764,15.3809008640041,27.0792979739628
