"M1","M2","M3","M4","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1
"FREQSTEPDOWN",0,0,0,0,0,0.0306198564398473
"FREQSTEPUP",-7.75968644056596e-05,0,-1.14240018278403e-05,0,-2.1677608615785e-05,0.0710775026732835
"FREQNUMSTEPS",-4.66441640177031e-05,1.66889765832797e-05,-8.50723540371086e-06,0,-9.75051894200623e-06,0.095592713087236
"NUMSWEEPSDWNUP",-0.000265549402943683,-0.000217161829015279,-0.00025521868899755,-0.000280441338932466,-0.000241855854931672,1.40439060015239
"FREQENDDWN",0.0010428591110487,0.00237184305978631,-0.00090156654595196,0.00422926400609796,0.0017130667197863,2.79401176731351
"FREQBEGDWN",0.000513238085279231,0.00101745243809405,-0.00147722214217003,-2.83211258847465e-05,1.35599156262924e-05,3.43205028538176
"FREQBEGUP",0.00261962706474559,0.0015024370920872,0.0013295503064512,-0.0013757210390339,0.00101589863059016,4.15360429170436
"NUMSWEEPSUPDWN",0.0034710654213449,0.00059456105236432,0.000643350733665213,0.00195051607836989,0.00168930691533116,4.7171417615009
"FREQENDUP",0.00360882849148975,0.000993252143199221,0.000896087818185619,0.00484406239075249,0.00261004767472464,4.93887428469196
"INFLSTDDEVDELTA",-3.54833593389469e-05,0.00048859069175931,0.00187827380917068,-0.00038237956405219,0.000436426531209071,6.9134659544785
"NUMINFLECTIONS",-0.000833994018971139,0.00133737042514377,0.0033036619942976,0.00275506416772871,0.00160301073822652,8.44642844932254
"INFLMAXMINDELTA",0.000540245308711102,0.000825889481853603,0.00106454159599668,0.000774915296948016,0.000770731677903451,8.98267995823653
"INFLMEANDELTA",0.00239073388851569,0.00148072575856845,0.00137531595370136,0.00160632096125023,0.00178126413119108,15.1432896835679
"FREQSLOPERATIO",0.0044102778573985,0.00454352954682246,0.00177325472686884,0.0119631792012552,0.00558872344463833,18.7760215176282
"NUMSWEEPSFLATDWN",0.0110788304295969,0.00955360156257795,-0.000782908404789085,0.0207058263836794,0.0100541396211496,18.9234175406483
"NUMSWEEPSFLATUP",0.0164726393471223,0.00256599252845427,0.00597437125910449,0.0111282622485159,0.00894975564419783,20.993435731378
"FREQNEGSLOPEMEAN",0.0150394087167647,0.0105303087076571,-0.00145809540227334,0.0107575302530487,0.00868911990147709,21.8279421505107
"FREQPOSSLOPEMEAN",0.008709974923539,0.00503629277231491,0.00205214108349386,0.00189474513543628,0.00435569058235923,22.9763984122263
"FREQSPREAD",0.0200451847890303,-0.00404647758683288,0.00452221445202769,0.0325894744772527,0.0130327785965041,24.7273743469542
"FREQSWEEPFLATPERCENT",0.0123485767967513,0.000353211720571808,0.000494412765816411,0.0102158435580586,0.00574830738129261,26.1942825643551
"FREQQUARTER3",0.00455841262895561,0.00448641768959368,0.00922064337471577,0.013848346550569,0.00804102586292975,28.3167964594337
"FREQSWEEPDWNPERCENT",0.00504005761143362,0.019219318329284,-0.00261080000964816,0.0226809572453829,0.0110059232300752,28.5289718741236
"DURATION",0.0493996949618117,0.00829570215231992,0.00333726615574434,0.00731357800361391,0.0169338099806531,31.2227250701878
"FREQCOFM",0.0685302037082246,-0.00118864363846612,-0.00252705502989402,0.0472609532475987,0.0278739748002499,32.6019295638757
"REP1",2,2,2,2,2,2
"FREQSTEPUP1",0,0,0,0,0,0
"FREQNUMSTEPS1",2.98238041000472e-05,0,0,0,7.19884658863219e-06,0.086259589026369
"FREQSTEPDOWN1",6.85368094436394e-05,0,0,6.64262038088785e-06,1.88946155545894e-05,0.0979310506001954
"NUMSWEEPSDWNUP1",0.000635466169878064,6.18229113369148e-05,-9.23260283525013e-05,-0.00024047104177654,0.000102221157269848,1.3431534526051
"FREQENDDWN1",-0.00054203824835681,0.0021622990605812,0.00130510333605109,0.00465687226910347,0.0018913857256653,3.0772633283895
"FREQBEGUP1",0.00452788086638085,0.000554125690924523,0.000333693185409891,0.000798493900622817,0.00154084837519753,4.08570782269776
"FREQBEGDWN1",0.0027021557046464,0.00108684741821251,0.000377389832783688,0.0041537969830332,0.00204478566038057,4.49363878439422
"FREQENDUP1",0.00285297821690719,0.00123801526968431,0.00149641774439187,0.00302081051275346,0.00211727147738649,4.84255702669297
"NUMSWEEPSUPDWN1",0.00178859824815883,0.00468446551194543,0.00347392143302432,0.00181536123963694,0.00292004697957655,5.20566621635221
"NUMINFLECTIONS1",0.00158028057967751,-8.61691450899376e-05,0.00203428471306339,-0.000365716072192157,0.000797154792606323,7.04630136869025
"INFLSTDDEVDELTA1",0.00405126377773725,0.00505393139762014,0.00274415666873869,1.39615717777397e-05,0.00295201521034688,7.58120244872668
"INFLMAXMINDELTA1",0.00271699731020617,0.00143051148241346,0.00166660326983744,-0.000399825715741425,0.00131532543001224,8.86906814993311
"INFLMEANDELTA1",0.00463552079363665,0.00169841922500244,-2.2724419057996e-05,0.00359164512430435,0.00244090136068785,15.7383011528391
"FREQSLOPERATIO1",0.0044122637709273,-0.00329584569072254,0.0027977918761052,0.0124433712012682,0.00407232255513453,18.5553504780032
"NUMSWEEPSFLATDWN1",0.0181188739413676,0.00952924986866097,0.00335360021581591,0.0161169856811603,0.0116429713185285,19.0184217658008
"FREQNEGSLOPEMEAN1",0.0151711212737561,0.0046931388487304,-0.000809817541072276,0.00722408856732184,0.00644643205969531,20.7647366102505
"NUMSWEEPSFLATUP1",0.0203306364745419,0.0101377465074755,0.00829130032333683,0.0119057403830081,0.0125277058615017,21.6786172845155
"FREQPOSSLOPEMEAN1",0.0138837027494656,0.00652354120861718,0.00285140775553645,0.00513552954964612,0.00697932896056805,22.9742707139798
"FREQSPREAD1",0.0141763894167795,-0.00236775596597109,0.00716191775115714,0.0251682322584024,0.0108791711647826,24.0216980647081
"FREQSWEEPFLATPERCENT1",0.0102427330285451,0.00225368267442691,0.00642228342755402,0.00822815807095168,0.00672073246976682,26.0857008451757
"FREQQUARTER31",0.00940694112533206,0.00499521302534886,0.0118235376507181,0.0151627188248128,0.0102897529407942,28.5614617880797
"FREQSWEEPDWNPERCENT1",0.0177025122012064,0.0250786692089334,0.00655027782780277,0.0227471429769214,0.0177909345339734,30.1168309875409
"DURATION1",0.0479765930087436,0.0088666199190331,0.00252552401740464,0.00812962276768703,0.0167027079031587,30.3825429001525
"FREQCOFM1",0.0731926304351158,0.00251155129239769,0.00530536684440535,0.0404745820567476,0.0300041252903053,31.780210189801
"REP2",3,3,3,3,3,3
"FREQSTEPDOWN2",6.94629467514178e-05,0,0,0,1.86192357880959e-05,0.0719022955206634
"FREQSTEPUP2",-5.10997953453196e-05,0,0,0,-1.21870170592602e-05,0.0811622877040686
"FREQNUMSTEPS2",-0.000147736119434511,2.62894999737105e-05,0,2.37857380714524e-05,-2.52460337461633e-05,0.13166920445278
"NUMSWEEPSDWNUP2",-0.000137262773613536,2.27332018783124e-05,0.000471755959333625,0.000275472388116388,0.000149794897776077,1.72400500854463
"FREQENDDWN2",0.000777075660037798,0.00313277287309456,-0.0016118909740881,0.00306542515084169,0.00133018720339875,2.94028386139788
"FREQBEGDWN2",0.00225081987335546,0.00152822975428207,-0.000143971999586985,0.00280950534611404,0.0015796946816864,3.95045680540117
"FREQBEGUP2",0.00212007914556469,0.00124492873881762,0.00101283389991709,0.000758604669161429,0.00132824266566805,4.06707448990087
"NUMSWEEPSUPDWN2",0.00363457355417397,0.0010828468770248,0.000210661890375025,0.00253356858448316,0.00184432501962164,4.77188040204193
"FREQENDUP2",0.00346928500674471,0.00181531228402446,0.00152873193910007,0.0050338449681097,0.00297318017370911,5.12452869253697
"INFLSTDDEVDELTA2",-0.000650802162117666,0.00347474135957569,0.00234701492846833,0.000310936468434348,0.00133101548514159,7.47704221749338
"NUMINFLECTIONS2",6.45520877114282e-05,0.000937624122792109,0.00405873120520417,0.00172669758327105,0.00163443446188653,8.19616713229774
"INFLMAXMINDELTA2",0.000212622405700736,0.00449375049315054,0.00403002914543337,0.000725415610289713,0.00233885271329413,9.94283745230681
"INFLMEANDELTA2",0.00549197468358836,0.00331477393703916,0.00117008375495639,-6.92177322819186e-05,0.00245606436203079,17.2970376985856
"FREQSLOPERATIO2",0.000702488207665305,-0.00200644329625481,0.00711962073367694,0.0101146001626976,0.00402775370332143,18.7786354222223
"NUMSWEEPSFLATUP2",0.0107263437882307,-0.0033949458184605,0.00529941890392283,0.00525688294550038,0.00439772159415961,19.130048121022
"NUMSWEEPSFLATDWN2",0.00631627406560606,0.00814178064755245,0.00299314981631765,0.00884076867917453,0.00652470568078397,19.3677254695517
"FREQNEGSLOPEMEAN2",0.018876299668751,0.00537086753595224,-0.00168769060997169,0.00599558402428909,0.00704663337719095,20.7563919116404
"FREQSPREAD2",0.0110441440214811,-7.38637435299613e-05,0.00753737744107971,0.0240066421787298,0.0104098874036946,23.3425343865633
"FREQPOSSLOPEMEAN2",0.00966249006981291,0.00483213308793555,0.00662481573392315,-0.000997519208133281,0.00506159480466151,24.3665335114052
"FREQSWEEPFLATPERCENT2",0.0151595091200879,0.000204791372728285,0.00353288738684352,0.0191484170170544,0.00944130913733758,26.7880142639054
"FREQQUARTER32",0.00425061830976579,0.00313674372557336,0.00698096011094715,0.0140454114864336,0.00707905957353698,27.0617715040254
"FREQSWEEPDWNPERCENT2",0.00835875452231816,0.0135630841489805,0.00129476936527023,0.0135146932618173,0.00909258467897918,28.7825785829997
"FREQCOFM2",0.0606029692802042,0.00323499010219644,-0.000908338929864088,0.0388481703343743,0.0252116181274438,30.48722445861
"DURATION2",0.0591850136735054,0.00772494004414785,-0.000574235133230404,0.00502773502473196,0.0178370272161098,31.654339458278
"REP3",4,4,4,4,4,4
"FREQSTEPUP3",-6.2421883252671e-05,0,0,0,-1.5820629806092e-05,0.0706380757803865
"FREQSTEPDOWN3",1.25702361947381e-05,0,0,0,3.78535521773363e-06,0.0902925141022032
"FREQNUMSTEPS3",-6.36618816007894e-05,0,0,1.58624409124076e-05,-1.2050931440337e-05,0.121312781151225
"NUMSWEEPSDWNUP3",0.000526489359617878,-1.0864123336065e-05,0.000175666669182562,-0.000286856969343966,0.000116535634850483,1.65962255968989
"FREQENDDWN3",0.00116516240901351,0.00341680451885196,-0.00077018806102635,0.005081166994083,0.00223801156387038,3.19760296767271
"FREQBEGDWN3",0.000797462893990036,0.00125817778786124,-0.00020951367728897,0.000344630525188402,0.000546353689544709,3.77383583520758
"FREQBEGUP3",0.00176391266507756,3.72770114263124e-05,0.000711356927616923,0.0012397304024419,0.000932379099031742,3.9876007229917
"NUMSWEEPSUPDWN3",0.00199215204341244,0.0023752899073037,-3.59179734427136e-05,0.000739973167848428,0.00125507145404959,4.40871236365469
"FREQENDUP3",0.00208928692688363,-0.000162049559358016,-0.00113525319730096,0.00185662243055756,0.000685313230082917,4.43090260554357
"INFLSTDDEVDELTA3",0.000890470098853262,0.00118791422753304,-0.000346020932221016,0.00272989565507917,0.00106428681995999,7.71242233461291
"NUMINFLECTIONS3",-0.000243687376481073,0.00216034097177833,0.00148424725833684,0.000982665607678905,0.00107285151412417,8.12882811771587
"INFLMAXMINDELTA3",0.00279731880677641,0.00272688641086088,-0.00122522899938666,0.000881509640273301,0.0012463847519741,9.44929765213924
"INFLMEANDELTA3",0.00415884981487454,-0.000208478042902731,-0.00095081641177013,0.00549594951130225,0.00204503923951471,16.1478101833693
"FREQSLOPERATIO3",0.00286252998537122,0.00426901819157801,-0.000195640324263283,0.00378015005778642,0.00263721710045322,18.4854821470935
"NUMSWEEPSFLATDWN3",0.0189102483199063,0.0100600467085508,-0.00426148329948512,0.0206964316882484,0.0112638305828608,20.0576608006397
"FREQNEGSLOPEMEAN3",0.0166373221645465,0.00444948696082496,-0.00211521367282865,0.00513289520301157,0.00588520667434552,20.4400422440704
"NUMSWEEPSFLATUP3",0.0129374384370606,0.0102794920075001,0.00953812781997411,0.00606662734060321,0.00959976381438801,20.645635444612
"FREQPOSSLOPEMEAN3",0.0111772931192195,3.46630791192952e-05,-0.00303349985888831,0.00226770913225774,0.0025140845024753,22.665211477063
"FREQSPREAD3",0.0150736141657734,-0.00230107072710999,0.00265268824698029,0.022102294827213,0.0092576277147086,24.0712846410588
"FREQSWEEPFLATPERCENT3",0.0120686691683303,0.00128896737279914,0.00124506568614341,0.0163657872007122,0.00758162588326301,27.0709654879986
