"N1","N2","N3","N4","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1
"FREQNUMSTEPS",0,0,0,0,0,0.0793841260654437
"NUMSWEEPSDWNUP",-0.000575690567644345,0.000154481037158129,9.41963121551799e-05,-5.9121117846606e-05,-9.52338238236796e-05,1.14378363706103
"FREQENDDWN",0.00228341649690237,-6.29743189090798e-05,0.0023523774541771,0.000857614004198898,0.0013535507374973,3.11991650906473
"NUMSWEEPSUPDWN",-4.72812798656274e-05,-0.00095955205261671,0.00273665632655678,0.00183559812109182,0.000893282654722217,3.14373963238623
"FREQBEGUP",0.00191690142978918,0.00270393056835198,0.000400743797229993,0.00399665508847425,0.00225609332879889,3.48043975197948
"FREQENDUP",0.00124615921772808,0.00568196068182547,0.00501428948828156,0.00102408753387328,0.00332791389413712,3.94991928266308
"FREQBEGDWN",0.00206015106056815,0.000335085628078899,0.0113110043019277,0.00135181454383125,0.00373533980627467,4.2312018498736
"NUMINFLECTIONS",0.00400603147872174,0.000639460991410486,0.00836809852786237,0.00332331011181363,0.00398625513158796,6.621779988714
"INFLSTDDEVDELTA",0.0110678805168492,-0.00121293232425081,0.00983302953628901,-0.00130487308422443,0.00447100578196133,6.69940004378528
"INFLMAXMINDELTA",0.016471416454327,-0.000958764701464576,0.0111116090981618,0.00136392056012134,0.00694023430233725,8.86420841663936
"FREQSLOPERATIO",0.0089092649127856,0.00196774085094144,0.00353000875469782,0.00210655774110289,0.0042355084522053,15.0337740662394
"INFLMEANDELTA",0.00708594997651242,0.00615159170591527,0.0289122364060598,0.00417279399822601,0.0115468525918937,15.7600911671864
"NUMSWEEPSFLATDWN",0.0159522717588477,0.00570120812575395,0.024496796713156,0.00221406584375376,0.0120470750701484,16.2996002108187
"NUMSWEEPSFLATUP",-0.00018378013799774,0.0165445074736363,0.0350395349467994,0.00660433781460637,0.0145022420518101,16.8152602783486
"FREQSPREAD",0.0135865948562642,0.0144128717552616,0.0183152173761436,-0.00306063515476715,0.0109302462846541,18.1218343512272
"FREQCOFM",0.0128740659678189,0.0160967403181474,0.00882398522047444,0.00586018304014487,0.010854682359305,20.1332708608379
"FREQNEGSLOPEMEAN",0.0393705225518588,0.0208363806546173,0.0291051883870916,-0.00399617800157431,0.0212860544467783,21.5271574212832
"FREQSWEEPDWNPERCENT",0.0113898540113397,0.0114574983663552,0.0381466187929563,0.00425558157234993,0.0163100056484744,22.2385220601551
"FREQSLOPEMEAN",0.00431404000731294,0.0115421851805286,0.0296816518378252,0.00459311089471373,0.0126419223017365,22.5888343285571
"FREQABSSLOPEMEAN",0.00874192288500556,0.0294676164569116,0.023460575060413,0.000726516234146223,0.0155251725845342,22.9720271407764
"FREQPOSSLOPEMEAN",0.0396323053445568,0.0174562141791778,0.0357446612507699,0.00516880995668322,0.024639528960594,24.0472716733313
"FREQSWEEPFLATPERCENT",0.0216345956268239,0.0221565244431337,0.0315993697771871,0.0152905060246057,0.0226286306469729,24.7615532984181
"FREQQUARTER3",0.0110593368970732,0.0199182156980586,0.0449450709849027,0.0115527717488787,0.0218281972263586,26.6971368239966
"DURATION",0.00569041637075913,0.0353792894292407,0.0224025910869363,0.0199341319795741,0.0208036676678817,29.2236468687851
"REP1",2,2,2,2,2,2
"FREQNUMSTEPS1",0,0,0,0,0,0
"NUMSWEEPSDWNUP1",-2.1844017048071e-05,0.000121445406129457,0.000467187145790717,7.42447027440941e-05,0.00016715354040326,1.25131177200927
"NUMSWEEPSUPDWN1",0.00111868706569246,-9.37380060621393e-05,0.00109611708753115,0.00112620296327436,0.000817852781105045,3.00265746777744
"FREQENDDWN1",0.00457770355697262,0.000330397200636232,0.00255734675916745,0.000497106447225001,0.00199055457239291,3.14279000756209
"FREQENDUP1",0.00109952503842857,0.000653580455874591,0.00747419859267927,-0.000317439285444851,0.00219421447529223,3.57910624272706
"FREQBEGUP1",0.00701642003105237,0.00119475674147987,-0.000175367942982473,0.00291696224329841,0.00274366085621765,3.78847515381686
"FREQBEGDWN1",0.00398217919710827,0.00135405621832891,0.00856580774533573,0.00481836244122995,0.00462161091587143,4.10645372530995
"INFLSTDDEVDELTA1",0.00257785611623474,-0.00037569223588656,0.00497071791845112,-0.000354605310206928,0.00168051029192222,5.54871114355132
"NUMINFLECTIONS1",0.00389986621373467,0.00226878093911267,0.0070314999382635,-0.00034706766804839,0.00321340719372604,6.28335997052987
"INFLMAXMINDELTA1",0.0075711902091548,-0.000384761490610138,0.0075548977947511,-0.000321653080871925,0.00355832448874887,7.32176979321776
"INFLMEANDELTA1",0.00699685175360419,0.00395028800347462,0.0166428151470345,0.00303307404312074,0.00762099928299536,13.8997828081721
"NUMSWEEPSFLATDWN1",0.0201103771171333,0.00740623853682991,0.0120945549335089,0.00111363803481311,0.010023790775826,15.4333532064926
"FREQSLOPERATIO1",0.00981611538323739,0.00370108286878126,0.0105357296519246,0.000545401687238501,0.00613239807723517,15.8077649881838
"NUMSWEEPSFLATUP1",0.0024280663578885,0.0104127430594369,0.0272287480545964,0.00480419708326537,0.0110711982462692,16.410889878719
"FREQSPREAD1",0.0122047763409259,0.0166265438343355,0.0125101032432572,0.00456359550429542,0.0114153077848583,18.8389784198061
"FREQCOFM1",0.00920895133182391,0.0136353528463434,0.00967023610549624,0.00502891833311923,0.00924773169145426,21.032716749209
"FREQNEGSLOPEMEAN1",0.0396542658049325,0.0146448571557055,0.0251677671045976,-0.00306301353332446,0.018834969259405,22.0877323068883
"FREQSWEEPDWNPERCENT1",0.0143329269253033,0.0159706048138001,0.0281937331920016,0.00432285142873925,0.0155927009519139,22.6437600443749
"FREQPOSSLOPEMEAN1",0.040745252889999,0.0236514785741701,0.0282141707438817,-0.00148489070568345,0.0225964474930526,23.423431707291
"FREQSLOPEMEAN1",0.015598492028543,0.0179070706821501,0.0283241909148697,0.00179659142185998,0.0158253810006095,23.9079849746528
"FREQABSSLOPEMEAN1",0.016697214268932,0.0266653694216156,0.0228807745292366,0.00359195257729917,0.0173880108861573,24.3880421463231
"FREQSWEEPFLATPERCENT1",0.0289823701942272,0.0253821224881864,0.023537078034344,0.00798815468472554,0.021333754021466,25.6497330379626
"DURATION1",0.0100674588290211,0.0394663063350593,0.0250867805329414,0.0100045145624825,0.0210363178942267,27.7387494967001
"FREQQUARTER31",0.00534977497247006,0.0371018517109191,0.0408514869311768,0.0161623066189005,0.024731442142902,28.0506251691645
"REP2",3,3,3,3,3,3
"FREQNUMSTEPS2",0,0,0,0,0,0.128582185841495
"NUMSWEEPSDWNUP2",-0.000517350983605879,0.00022982780675999,0.00062996348648012,0.000870873579351451,0.000283396671073032,1.28986567611105
"FREQENDDWN2",0.00374142678745925,-0.000422354480004537,0.00407448021187699,-0.000850968645082082,0.00155462457858055,2.90808710069759
"NUMSWEEPSUPDWN2",0.00261570287637247,-0.00151618260730866,0.00185656948994384,1.37227101740169e-05,0.000826800454547448,3.10009118832737
"FREQBEGUP2",0.00205133414046811,0.00283590477954819,-1.27673461702536e-05,0.000537497646460201,0.00137183278650006,3.26655235818644
"FREQENDUP2",0.00188817420101772,0.00518755453590368,0.00564120949356036,0.000980618131301203,0.00343389417054827,3.71729993850293
"FREQBEGDWN2",-0.000504718784348726,0.00151183234969451,0.00597656665359361,0.0032447755846927,0.00246404281686381,4.17386791874989
"INFLSTDDEVDELTA2",0.00941231857961695,-0.000551390087262306,0.0102873412230147,-0.00483765764751739,0.00356453188369305,6.53282068440937
"NUMINFLECTIONS2",0.00883625919022302,0.0027516386698123,0.00771499488465671,-0.00116876299159897,0.00443560548304951,6.78611097766393
"INFLMAXMINDELTA2",0.0132838410510473,-0.0028912694022463,0.0106873464640246,-0.00217444186557971,0.00463441356109077,7.65202891623617
"INFLMEANDELTA2",0.00281306088711142,0.00689322873483283,0.0146136402457673,0.00523480827947036,0.0071801536352149,14.535171826023
"NUMSWEEPSFLATUP2",0.00936879901056378,0.00431836002509434,0.0255908409384372,-2.47783088604556e-05,0.00972445371623303,15.6823899866939
"NUMSWEEPSFLATDWN2",0.0244273305916947,0.00181896256914614,0.0156155750518933,0.000901565486274731,0.0108406699115501,16.1629602909562
"FREQSLOPERATIO2",0.0144922318153954,0.00258445131831037,0.0126103182200646,0.00130533814147527,0.00749466289354681,16.1801451604289
"FREQSPREAD2",0.00867855283689783,0.0159393265923077,0.00836789278302545,1.51616967532966e-05,0.00832728977807607,18.227427722289
"FREQCOFM2",0.0134679507868833,0.0100900007172078,0.0159535709213349,0.00662395477716503,0.0114525585830827,19.9483509624169
"FREQSWEEPDWNPERCENT2",0.0105610013058367,0.00780663355461686,0.0209906707949219,0.00309622746982119,0.0105050266211893,20.4734268849896
"FREQNEGSLOPEMEAN2",0.0423580068003593,0.0140870038138798,0.0207437508766048,-0.00505465928305529,0.0176428776674692,20.8789040713303
"FREQSLOPEMEAN2",0.0144163234804261,0.00789431880748587,0.0214100216930827,0.00814940422117017,0.0128407233063288,22.7114575675043
"FREQABSSLOPEMEAN2",0.0202089069838291,0.0214402213509487,0.0216119308127469,0.0021455558833297,0.0163466799974528,23.9437375822884
"FREQPOSSLOPEMEAN2",0.0453442610528937,0.00902288766783902,0.0284676548969476,0.00487588731730327,0.0215836948882182,24.0918004788891
"FREQSWEEPFLATPERCENT2",0.0438108491352388,0.0259036875306153,0.0220475014769561,0.0075464994448026,0.0248711768857093,26.5316388994755
"FREQQUARTER32",0.0152376180025551,0.0277752445618841,0.0329296304095819,0.00781032754385993,0.0208620760767734,27.4601416930961
"DURATION2",0.0126824526417978,0.0539004803748516,0.0207146967766615,0.0224636880960391,0.027296816604104,30.7088312085958
"REP3",4,4,4,4,4,4
"FREQNUMSTEPS3",0,0,0,0,0,0.101462219141825
"NUMSWEEPSDWNUP3",-0.000425294528748983,0.000515728431949509,0.000780218342903977,0.000555070459293778,0.000358857160058651,1.38914035524605
"NUMSWEEPSUPDWN3",0.000551210152291422,0.000408592847531777,-7.10956917448388e-05,0.00134511595379732,0.000527187109193348,3.16719352445953
"FREQENDDWN3",0.00818504696343961,-0.000164354989775253,0.00255343454342509,-0.000163803598884574,0.00261287372584753,3.42464865538747
"FREQBEGUP3",0.0043143821848597,0.00297805245837075,0.00304007867569605,0.00417170518335551,0.00362206976288132,4.11291715720122
"FREQENDUP3",0.000954776121286286,0.00173047580452229,0.00576753064889181,0.00267433945755181,0.00271786368823039,4.18047505712946
"FREQBEGDWN3",0.00567829941515491,0.00288722422130288,0.00562266822009189,0.00116029706516948,0.00381659603587886,4.22147822888959
"NUMINFLECTIONS3",0.00774949910666288,0.00150457389503647,0.0127337836340727,0.00245245066133003,0.00608333482956422,7.05188535455685
"INFLSTDDEVDELTA3",0.0100247921618934,0.000358289267008798,0.0103874496929385,-0.000269185311862533,0.00506810338521428,7.24618043543979
"INFLMAXMINDELTA3",0.0195609944492407,-0.00120177273738679,0.0127010167414223,-0.000377677000087103,0.00759877773252413,9.56081637486217
"NUMSWEEPSFLATDWN3",0.0154075456403104,0.00428248866161087,0.00993055843751731,0.00252516580123817,0.00804637359664962,15.2832472305948
"INFLMEANDELTA3",0.00765490082527675,0.00494004757310931,0.0194208134592209,0.00904836595821862,0.0101778132761978,15.4908732791269
"FREQSLOPERATIO3",0.0154264318704494,0.00153588134143601,0.00488502847148654,0.000892124861588188,0.00565569696980498,16.112366010011
"NUMSWEEPSFLATUP3",0.00808329803899062,0.00852934429812958,0.0204678429358395,0.00635714147699999,0.0107242701297408,17.0432289388624
"FREQSPREAD3",0.00711233618946753,0.0125565183215896,0.0181360610427658,0.00228923219757509,0.00986548553467938,19.6430705712552
"FREQNEGSLOPEMEAN3",0.0341123188043128,0.0119326134812371,0.015756373690141,-0.00182946636003411,0.0148577585187149,20.317221640172
"FREQCOFM3",0.0115960140027652,0.0102370768053835,0.0119960404525848,0.00699825965202183,0.0101636146130989,21.3116725863489
"FREQSLOPEMEAN3",0.00897230678823347,0.00709041777147627,0.0151729296366194,0.00516301593625074,0.00902656756455734,21.3732665436132
"FREQSWEEPDWNPERCENT3",0.00828526310657295,0.00897710827476101,0.0181077830005933,0.00495346549656253,0.00999481338706635,21.3789423107006
"FREQABSSLOPEMEAN3",0.00916961316633393,0.0188962564609896,0.010461153205391,-0.000267556269930096,0.00944005057857789,21.8046121449047
"FREQPOSSLOPEMEAN3",0.0352818649522732,0.0146709124527741,0.0352843837613119,0.00102727716402379,0.0213671427322663,23.9985050240229
"FREQSWEEPFLATPERCENT3",0.0238469037125598,0.0174925141077227,0.020279763278747,0.00708956294032787,0.0170137234276798,24.7242821687957
"FREQQUARTER33",0.00672113096876229,0.0226395633967547,0.0289260354022494,0.00440968242379696,0.0155260968209239,26.3321843515834
"DURATION3",0.0138600104743279,0.0296263156498922,0.0212097457535002,0.014787589408908,0.0197368818081972,28.0333224994284
"REP4",5,5,5,5,5,5
"FREQNUMSTEPS4",0,0,0,0,0,0.102744597937751
"NUMSWEEPSDWNUP4",-0.000586400698124117,0.000236207982218011,0.000887498199948414,0.000115042159630167,0.000159297650952579,1.144804073789
"NUMSWEEPSUPDWN4",0.00171015221472739,0.00101169462571621,9.21496934815783e-05,0.000661777678332686,0.000857071918473892,2.92836324513711
"FREQENDDWN4",0.00695683358042694,0.00112248943050236,0.00135492336723019,-0.00153276908925456,0.0019481148502544,3.41148478918333
"FREQENDUP4",0.00282210198167224,0.0032741845903463,0.00570839510007515,-0.00220232588587194,0.0024169506762157,3.94544982446728
"FREQBEGUP4",0.00335578345957238,0.00579256653687614,0.00560966235612473,0.00135222259578701,0.00403592985602769,4.19459288119053
"FREQBEGDWN4",0.0030542937367766,0.00480126169563706,0.00727847688927955,0.00174303794581166,0.00422280379527141,4.26179313392833
