"P1","P2","P3","P4","P5","P6","P7","P8","MeanDecreaseAccuracy","MeanDecreaseGini"
"REP",1,1,1,1,1,1,1,1,1,1
"FREQSTEPDOWN",0,0,-8.96582264035283e-06,0,0,0,0,-8.69217530379153e-06,-2.5073613332287e-06,0.287622520152016
"FREQNUMSTEPS",6.67777527896329e-05,2.98358305659305e-05,-1.08128931418034e-05,6.77879526340142e-06,2.84362502266039e-05,-3.98970297237368e-05,2.99621007425124e-05,0.000269026639741633,4.69057687793155e-05,0.863480327168302
"NUMSWEEPSDWNUP",-1.34990919405962e-05,0.000179164675882575,0.000210576490766287,-0.000129010017882171,-6.56649830565632e-06,-0.000181433670537956,-0.000169054546559533,-0.000392659880513417,-6.58886738822159e-05,1.92128564391678
"FREQBEGDWN",0.000106547576187329,-0.0011605288945338,0.000755994754688928,-0.00104347734589291,0.00123379024483283,-0.000719467872999424,0.000936568285175667,0.00205097209305785,0.000265615946321499,7.55809249031214
"FREQENDDWN",0.00199181157734974,0.000294901625265381,0.00150332714908123,-0.000288126006461867,0.0014968275164975,0.00195135450867409,0.00218684373658875,0.00210911153549873,0.00140715637036055,8.48171819018712
"NUMSWEEPSUPDWN",0.000314729217818876,0.00178013760222772,0.00105234967277241,-0.000263132907672883,0.000472295817016898,-0.000629924940233344,0.000116228804328292,-0.000990731389335554,0.000199462460683682,9.01268233493892
"FREQENDUP",0.000760319546798614,0.00135950764165971,0.000629834425502994,0.000880876075481057,0.00124584206384918,0.00114125350231301,0.000679516607515445,-0.00145271559195957,0.000620947153882398,9.04598293197766
"FREQBEGUP",0.000664460067259333,0.00133973375603399,0.000154179051728227,0.00175370782355918,0.00196261869288072,0.000522598490403516,0.00128801844868169,0.000216940539297709,0.000963384994839357,9.9326336897333
"INFLSTDDEVDELTA",0.00174992669209975,0.003895017399968,0.000323574205984242,0.00169034883506518,0.000649112133820937,0.000107007925998261,0.00201526317088707,0.00211745067739782,0.0015459842178322,14.239574263607
"NUMINFLECTIONS",0.0017237533524086,0.00280786483486638,-0.00125061212144679,0.0010187851222488,0.00267994140197504,0.00165873782586467,0.00326325174306627,-2.66414026872679e-05,0.00144704488161045,14.3126624401815
"INFLMAXMINDELTA",0.00217484464142854,0.0040543971026252,0.000193778599516455,0.000449139338256504,0.000859177324193164,0.000201235377975402,0.00119701438713747,0.00224595867420686,0.00141476449362395,17.6976232371507
