,Pelagic,NWHI,MHI
rep,1,1,1
Pelagic,66,39,45
NWHI,52,63,35
MHI,32,69,49
accuracy,0.396,0.396,0.396
rep,2,2,2
Pelagic,57,66,27
NWHI,38,80,32
MHI,51,29,70
accuracy,0.46,0.46,0.46
rep,3,3,3
Pelagic,61,52,37
NWHI,57,57,36
MHI,39,67,44
accuracy,0.36,0.36,0.36
rep,4,4,4
Pelagic,51,43,56
NWHI,51,63,36
MHI,43,64,43
accuracy,0.349,0.349,0.349
rep,5,5,5
Pelagic,54,26,70
NWHI,47,46,57
MHI,20,26,104
accuracy,0.453,0.453,0.453
rep,6,6,6
Pelagic,48,60,42
NWHI,34,78,38
MHI,48,33,69
accuracy,0.433,0.433,0.433
rep,7,7,7
Pelagic,59,63,28
NWHI,31,86,33
MHI,36,70,44
accuracy,0.42,0.42,0.42
rep,8,8,8
Pelagic,55,59,36
NWHI,42,72,36
MHI,50,29,71
accuracy,0.44,0.44,0.44
rep,9,9,9
Pelagic,76,41,33
NWHI,56,47,47
MHI,54,31,65
accuracy,0.418,0.418,0.418
rep,10,10,10
Pelagic,43,29,78
NWHI,76,37,37
MHI,32,33,85
accuracy,0.367,0.367,0.367
rep,11,11,11
Pelagic,50,31,69
NWHI,49,51,50
MHI,43,32,75
accuracy,0.391,0.391,0.391
rep,12,12,12
Pelagic,69,39,42
NWHI,46,50,54
MHI,27,34,89
accuracy,0.462,0.462,0.462
rep,13,13,13
Pelagic,69,33,48
NWHI,56,52,42
MHI,50,60,40
accuracy,0.358,0.358,0.358
rep,14,14,14
Pelagic,59,58,33
NWHI,46,58,46
MHI,46,25,79
accuracy,0.436,0.436,0.436
rep,15,15,15
Pelagic,96,17,37
NWHI,43,64,43
MHI,47,33,70
accuracy,0.511,0.511,0.511
rep,16,16,16
Pelagic,66,46,38
NWHI,54,45,51
MHI,35,36,79
accuracy,0.422,0.422,0.422
rep,17,17,17
Pelagic,57,56,37
NWHI,47,54,49
MHI,34,35,81
accuracy,0.427,0.427,0.427
rep,18,18,18
Pelagic,60,60,30
NWHI,48,35,67
MHI,52,20,78
accuracy,0.384,0.384,0.384
rep,19,19,19
Pelagic,62,56,32
NWHI,40,60,50
MHI,37,34,79
accuracy,0.447,0.447,0.447
rep,20,20,20
Pelagic,56,47,47
NWHI,40,33,77
MHI,43,7,100
accuracy,0.42,0.42,0.42
rep,21,21,21
Pelagic,61,60,29
NWHI,47,63,40
MHI,50,19,81
accuracy,0.456,0.456,0.456
rep,22,22,22
Pelagic,46,70,34
NWHI,36,70,44
MHI,40,63,47
accuracy,0.362,0.362,0.362
rep,23,23,23
Pelagic,68,31,51
NWHI,48,47,55
MHI,25,23,102
accuracy,0.482,0.482,0.482
rep,24,24,24
Pelagic,45,60,45
NWHI,38,77,35
MHI,33,60,57
accuracy,0.398,0.398,0.398
rep,25,25,25
Pelagic,46,26,78
NWHI,50,56,44
MHI,28,31,91
accuracy,0.429,0.429,0.429
rep,26,26,26
Pelagic,98,7,45
NWHI,42,34,74
MHI,50,16,84
accuracy,0.48,0.48,0.48
rep,27,27,27
Pelagic,56,54,40
NWHI,47,58,45
MHI,50,30,70
accuracy,0.409,0.409,0.409
rep,28,28,28
Pelagic,42,27,81
NWHI,48,48,54
MHI,22,24,104
accuracy,0.431,0.431,0.431
rep,29,29,29
Pelagic,57,44,49
NWHI,57,59,34
MHI,40,63,47
accuracy,0.362,0.362,0.362
rep,30,30,30
Pelagic,75,28,47
NWHI,49,48,53
MHI,19,23,108
accuracy,0.513,0.513,0.513
