,Pelagic,MHI
rep,1,1
Pelagic,90,60
MHI,55,95
accuracy.pm,0.617,0.617
rep,2,2
Pelagic,91,59
MHI,34,116
accuracy.pm,0.69,0.69
rep,3,3
Pelagic,111,39
MHI,62,88
accuracy.pm,0.663,0.663
rep,4,4
Pelagic,59,91
MHI,71,79
accuracy.pm,0.46,0.46
rep,5,5
Pelagic,61,89
MHI,45,105
accuracy.pm,0.553,0.553
rep,6,6
Pelagic,100,50
MHI,59,91
accuracy.pm,0.637,0.637
rep,7,7
Pelagic,55,95
MHI,32,118
accuracy.pm,0.577,0.577
rep,8,8
Pelagic,52,98
MHI,42,108
accuracy.pm,0.533,0.533
rep,9,9
Pelagic,64,86
MHI,77,73
accuracy.pm,0.457,0.457
rep,10,10
Pelagic,57,93
MHI,62,88
accuracy.pm,0.483,0.483
rep,11,11
Pelagic,66,84
MHI,31,119
accuracy.pm,0.617,0.617
rep,12,12
Pelagic,101,49
MHI,45,105
accuracy.pm,0.687,0.687
rep,13,13
Pelagic,100,50
MHI,73,77
accuracy.pm,0.59,0.59
rep,14,14
Pelagic,112,38
MHI,55,95
accuracy.pm,0.69,0.69
rep,15,15
Pelagic,63,87
MHI,41,109
accuracy.pm,0.573,0.573
rep,16,16
Pelagic,82,68
MHI,69,81
accuracy.pm,0.543,0.543
rep,17,17
Pelagic,86,64
MHI,45,105
accuracy.pm,0.637,0.637
rep,18,18
Pelagic,104,46
MHI,35,115
accuracy.pm,0.73,0.73
rep,19,19
Pelagic,56,94
MHI,37,113
accuracy.pm,0.563,0.563
rep,20,20
Pelagic,59,91
MHI,37,113
accuracy.pm,0.573,0.573
rep,21,21
Pelagic,101,49
MHI,47,103
accuracy.pm,0.68,0.68
rep,22,22
Pelagic,93,57
MHI,40,110
accuracy.pm,0.677,0.677
rep,23,23
Pelagic,86,64
MHI,51,99
accuracy.pm,0.617,0.617
rep,24,24
Pelagic,55,95
MHI,61,89
accuracy.pm,0.48,0.48
rep,25,25
Pelagic,83,67
MHI,34,116
accuracy.pm,0.663,0.663
rep,26,26
Pelagic,86,64
MHI,32,118
accuracy.pm,0.68,0.68
rep,27,27
Pelagic,61,89
MHI,37,113
accuracy.pm,0.58,0.58
rep,28,28
Pelagic,102,48
MHI,59,91
accuracy.pm,0.643,0.643
rep,29,29
Pelagic,92,58
MHI,45,105
accuracy.pm,0.657,0.657
rep,30,30
Pelagic,64,86
MHI,46,104
accuracy.pm,0.56,0.56
rep,31,31
Pelagic,97,53
MHI,60,90
accuracy.pm,0.623,0.623
rep,32,32
Pelagic,84,66
MHI,36,114
accuracy.pm,0.66,0.66
rep,33,33
Pelagic,91,59
MHI,59,91
accuracy.pm,0.607,0.607
rep,34,34
Pelagic,86,64
MHI,77,73
accuracy.pm,0.53,0.53
rep,35,35
Pelagic,101,49
MHI,67,83
accuracy.pm,0.613,0.613
rep,36,36
Pelagic,105,45
MHI,61,89
accuracy.pm,0.647,0.647
rep,37,37
Pelagic,90,60
MHI,24,126
accuracy.pm,0.72,0.72
rep,38,38
Pelagic,88,62
MHI,45,105
accuracy.pm,0.643,0.643
rep,39,39
Pelagic,98,52
MHI,31,119
accuracy.pm,0.723,0.723
rep,40,40
Pelagic,97,53
