,Pelagic,NWHI
rep,1,1
Pelagic,87,63
NWHI,76,74
accuracy.pn,0.537,0.537
rep,2,2
Pelagic,82,68
NWHI,81,69
accuracy.pn,0.503,0.503
rep,3,3
Pelagic,87,63
NWHI,59,91
accuracy.pn,0.593,0.593
rep,4,4
Pelagic,78,72
NWHI,66,84
accuracy.pn,0.54,0.54
rep,5,5
Pelagic,86,64
NWHI,72,78
accuracy.pn,0.547,0.547
rep,6,6
Pelagic,68,82
NWHI,62,88
accuracy.pn,0.52,0.52
rep,7,7
Pelagic,82,68
NWHI,65,85
accuracy.pn,0.557,0.557
rep,8,8
Pelagic,85,65
NWHI,94,56
accuracy.pn,0.47,0.47
rep,9,9
Pelagic,96,54
NWHI,76,74
accuracy.pn,0.567,0.567
rep,10,10
Pelagic,101,49
NWHI,70,80
accuracy.pn,0.603,0.603
rep,11,11
Pelagic,97,53
NWHI,76,74
accuracy.pn,0.57,0.57
rep,12,12
Pelagic,71,79
NWHI,58,92
accuracy.pn,0.543,0.543
rep,13,13
Pelagic,58,92
NWHI,66,84
accuracy.pn,0.473,0.473
rep,14,14
Pelagic,78,72
NWHI,57,93
accuracy.pn,0.57,0.57
rep,15,15
Pelagic,92,58
NWHI,92,58
accuracy.pn,0.5,0.5
rep,16,16
Pelagic,102,48
NWHI,62,88
accuracy.pn,0.633,0.633
rep,17,17
Pelagic,63,87
NWHI,43,107
accuracy.pn,0.567,0.567
rep,18,18
Pelagic,69,81
NWHI,47,103
accuracy.pn,0.573,0.573
rep,19,19
Pelagic,76,74
NWHI,58,92
accuracy.pn,0.56,0.56
rep,20,20
Pelagic,84,66
NWHI,69,81
accuracy.pn,0.55,0.55
rep,21,21
Pelagic,87,63
NWHI,47,103
accuracy.pn,0.633,0.633
rep,22,22
Pelagic,67,83
NWHI,69,81
accuracy.pn,0.493,0.493
rep,23,23
Pelagic,82,68
NWHI,69,81
accuracy.pn,0.543,0.543
rep,24,24
Pelagic,100,50
NWHI,65,85
accuracy.pn,0.617,0.617
rep,25,25
Pelagic,67,83
NWHI,54,96
accuracy.pn,0.543,0.543
rep,26,26
Pelagic,84,66
NWHI,69,81
accuracy.pn,0.55,0.55
rep,27,27
Pelagic,78,72
NWHI,64,86
accuracy.pn,0.547,0.547
rep,28,28
Pelagic,87,63
NWHI,63,87
accuracy.pn,0.58,0.58
rep,29,29
Pelagic,80,70
NWHI,62,88
accuracy.pn,0.56,0.56
rep,30,30
Pelagic,66,84
NWHI,63,87
accuracy.pn,0.51,0.51
rep,31,31
Pelagic,104,46
NWHI,63,87
accuracy.pn,0.637,0.637
rep,32,32
Pelagic,116,34
NWHI,74,76
accuracy.pn,0.64,0.64
rep,33,33
Pelagic,71,79
NWHI,61,89
accuracy.pn,0.533,0.533
rep,34,34
Pelagic,112,38
NWHI,84,66
accuracy.pn,0.593,0.593
rep,35,35
Pelagic,74,76
NWHI,71,79
accuracy.pn,0.51,0.51
rep,36,36
