"Pelagic","NWHI","MHI"
"rep",1,1,1
"P8",24,3,10
"P4",12,12,13
"P5",14,15,8
"P1",17,12,8
"N2",12,16,9
"N3",6,23,8
"N4",12,11,14
"N1",4,20,13
"M2",7,4,26
"M3",10,4,23
"M4",9,4,24
"M1",7,10,20
"accuracy",0,0,0
"rep",2,2,2
"P1",14,13,10
"P6",15,15,7
"P8",23,4,10
"P3",21,8,8
"N2",7,23,7
"N3",8,16,13
"N4",7,15,15
"N1",8,14,15
"M2",6,9,22
"M3",6,5,26
"M4",9,2,26
"M1",9,7,21
"accuracy",0,0,0
"rep",3,3,3
"P8",28,4,5
"P4",11,15,11
"P7",16,7,14
"P1",12,18,7
"N2",6,28,3
"N3",4,24,9
"N4",3,23,11
"N1",9,15,13
"M2",10,6,21
"M3",7,6,24
"M4",11,2,24
"M1",9,14,14
"accuracy",0,0,0
"rep",4,4,4
"P3",22,7,8
"P8",27,2,8
"P6",20,9,8
"P5",18,9,10
"N2",10,17,10
"N3",7,19,11
"N4",12,16,9
"N1",9,9,19
"M2",10,4,23
"M3",6,6,25
"M4",5,6,26
"M1",7,14,16
"accuracy",0,0,0
"rep",5,5,5
"P2",20,11,6
"P1",15,11,11
"P8",26,4,7
"P6",20,11,6
"N2",7,25,5
"N3",7,23,7
"N4",12,20,5
"N1",12,12,13
"M2",6,10,21
"M3",8,7,22
"M4",5,5,27
"M1",5,11,21
"accuracy",0,0,0
"rep",6,6,6
"P3",24,5,8
"P1",17,11,9
"P2",16,11,10
"P8",19,3,15
"N2",7,19,11
"N3",8,21,8
"N4",8,17,12
"N1",8,18,11
"M2",5,7,25
"M3",11,6,20
"M4",1,7,29
"M1",11,12,14
"accuracy",0,0,0
"rep",7,7,7
"P6",22,8,7
"P1",17,11,9
"P5",18,13,6
"P8",28,1,8
"N2",9,20,8
"N3",14,20,3
"N4",11,15,11
"N1",10,15,12
"M2",10,6,21
"M3",6,8,23
"M4",7,6,24
"M1",7,15,15
"accuracy",0,0,0
"rep",8,8,8
"P5",18,14,5
"P3",28,5,4
"P8",25,5,7
"P2",18,10,9
"N2",9,21,7
"N3",7,23,7
"N4",5,20,12
"N1",10,11,16
"M2",7,3,27
"M3",7,4,26
"M4",9,3,25
"M1",5,12,20
"accuracy",0,0,0
"rep",9,9,9
"P6",22,13,2
"P4",13,12,12
"P8",29,0,8
"P5",13,16,8
"N2",6,22,9
"N3",4,18,15
"N4",13,14,10
"N1",5,15,17
"M2",5,6,26
"M3",8,7,22
"M4",10,1,26
"M1",5,9,23
"accuracy",0,0,0
"rep",10,10,10
"P4",12,11,14
"P1",15,12,10
"P8",22,3,12
"P6",24,7,6
"N2",8,23,6
"N3",5,25,7
"N4",6,19,12
"N1",7,15,15
"M2",7,5,25
"M3",9,6,22
"M4",7,4,26
"M1",10,9,18
"accuracy",0,0,0
"rep",11,11,11
"P1",22,9,6
"P2",23,11,3
"P3",22,7,8
"P7",14,8,15
"N2",5,24,8
"N3",8,22,7
"N4",9,23,5
"N1",9,12,16
"M2",11,4,22
"M3",10,9,18
"M4",5,5,27
"M1",5,14,18
"accuracy",0,0,0
"rep",12,12,12
"P6",23,10,4
"P5",20,6,11
"P8",23,1,13
"P4",13,10,14
"N2",6,24,7
"N3",6,24,7
"N4",18,9,10
"N1",7,12,18
"M2",7,7,23
"M3",6,8,23
"M4",7,2,28
"M1",4,14,19
"accuracy",0,0,0
"rep",13,13,13
"P8",27,1,9
"P4",12,14,11
"P3",25,7,5
"P2",15,17,5
"N2",8,21,8
"N3",7,22,8
"N4",12,20,5
"N1",7,9,21
"M2",8,8,21
"M3",9,3,25
"M4",8,2,27
"M1",3,9,25
"accuracy",0,0,0
"rep",14,14,14
"P8",27,2,8
"P4",11,10,16
"P2",21,10,6
"P1",14,8,15
"N2",8,20,9
"N3",8,25,4
"N4",9,16,12
"N1",5,11,21
"M2",5,3,29
"M3",5,9,23
"M4",4,3,30
"M1",7,12,18
"accuracy",0,0,0
"rep",15,15,15
"P5",18,15,4
"P8",30,0,7
"P3",25,8,4
"P7",14,9,14
"N2",8,23,6
"N3",6,24,7
"N4",8,20,9
"N1",10,11,16
"M2",9,7,21
"M3",9,5,23
"M4",9,3,25
"M1",2,17,18
