"","unique.values","total","id"
"1","M1","MHI",1450
"2","M2","MHI",2104
"3","M3","MHI",1719
"4","M4","MHI",2070
"5","N1","MHI",1413
"6","N2","MHI",873
"7","N3","MHI",1130
"8","N4","MHI",1520
"9","P1","MHI",512
"10","P2","MHI",523
"11","P3","MHI",464
"12","P4","MHI",318
"13","P5","MHI",593
"14","P6","MHI",750
"15","P7","MHI",776
"16","P8","MHI",557
"17","M1","NWHI",1846
"18","M2","NWHI",839
"19","M3","NWHI",579
"20","M4","NWHI",470
"21","N1","NWHI",706
"22","N2","NWHI",1424
"23","N3","NWHI",1539
"24","N4","NWHI",1848
"25","P1","NWHI",488
"26","P2","NWHI",740
"27","P3","NWHI",300
"28","P4","NWHI",334
"29","P5","NWHI",1067
"30","P6","NWHI",1267
"31","P7","NWHI",266
"32","P8","NWHI",191
"33","M1","Pelagic",1204
"34","M2","Pelagic",1107
"35","M3","Pelagic",1002
"36","M4","Pelagic",610
"37","N1","Pelagic",731
"38","N2","Pelagic",1303
"39","N3","Pelagic",1081
"40","N4","Pelagic",1432
"41","P1","Pelagic",650
"42","P2","Pelagic",837
"43","P3","Pelagic",436
"44","P4","Pelagic",398
"45","P5","Pelagic",1040
"46","P6","Pelagic",1283
"47","P7","Pelagic",458
"48","P8","Pelagic",752
